"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Armor of Vulnerability (Piercing)","DMG","rare","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
"Armor of Vulnerability (Slashing)","DMG","rare","heavy armor (plate armor)","requires attunement","AC 18","65 lb.",""
"Arrow of Slaying (*)","DMG","very rare","ammunition, generic variant","","","",""
"Arrow-Catching Shield","DMG","rare","armor (shield)","requires attunement","AC +2","6 lb.",""
"Ascendant Dragon Vessel","FTD","legendary","wondrous item","requires attunement","","",""
"Ascendant Dragon's Wrath Weapon","FTD","legendary","generic variant","requires attunement","","",""
"Ascendant Dragon-Touched Focus","FTD","legendary","wondrous item","requires attunement by a spellcaster","","",""
"Ascendant Scaled Ornament","FTD","legendary","wondrous item","requires attunement","","",""
"Astral Shard","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Astromancy Archive","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Atlas of Endless Horizons","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Axe of the Dwarvish Lords","DMG","artifact","weapon (battleaxe), martial weapon, melee weapon","requires attunement","1d8, slashing, - thrown (20/60 ft.), versatile (1d10)","4 lb.",""
"Azorius Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Azorius Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Azorius guild","","",""
"Azuredge","WDH","legendary","weapon (battleaxe), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","4 lb.",""
"Baba Yaga's Mortar and Pestle","TCE","artifact","wondrous item","requires attunement","","",""
"Baba Yaga's Pestle","TCE","artifact","weapon (quarterstaff), simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Badge of the Watch","WDH","rare","wondrous item","requires attunement","","",""
"Bag of Beans","DMG","rare","wondrous item","","","½ lb.",""
"Bag of Bounty","WGE","uncommon","wondrous item","","","",""
"Bag of Devouring","DMG","very rare","wondrous item","","","15 lb.",""
"Bag of Holding","DMG","uncommon","wondrous item","","","15 lb.",""
"Bag of Tricks","DMG","uncommon","wondrous item","","","½ lb.",""
"Bag of Tricks, Gray","DMG","uncommon","wondrous item","","","½ lb.",""
"Bag of Tricks, Rust","DMG","uncommon","wondrous item","","","½ lb.",""
"Bag of Tricks, Tan","DMG","uncommon","wondrous item","","","½ lb.",""
"Balance of Harmony","TftYP","uncommon","wondrous item","","","1 lb.",""
"Balloon Pack","PotA","uncommon","wondrous item","","","",""
"Band of Loyalty","WGE","common","ring","requires attunement","","",""
"Banner of the Krig Rune","SKT","rare","wondrous item","requires attunement","","",""
"Barrier Tattoo (Large)","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Barrier Tattoo (Medium)","TCE","rare","wondrous item (tattoo)","requires attunement","","",""
"Barrier Tattoo (Small)","TCE","uncommon","wondrous item (tattoo)","requires attunement","","",""
"Battering Shield","EGW","rare","shield (shield)","requires attunement","AC +2","6 lb.",""
"Battle Standard of Infernal Power","BGDIA","very rare","wondrous item","requires attunement","","",""
"Bead of Force","DMG","rare","wondrous item","","","1 oz.",""
"Bead of Nourishment","XGE","common","wondrous item","","","",""
"Bead of Refreshment","XGE","common","wondrous item","","","",""
"Belashyrra's Beholder Crown","ERLW","legendary","wondrous item","requires attunement","","",""
"Bell Branch","TCE","rare","wondrous item","requires attunement by a druid or warlock","","0.16 oz.",""
"Belt of Cloud Giant Strength","DMG","legendary","wondrous item","requires attunement","","",""
"Belt of Dwarvenkind","DMG","rare","wondrous item","requires attunement","","",""
"Belt of Fire Giant Strength","DMG","very rare","wondrous item","requires attunement","","",""
"Belt of Frost Giant Strength","DMG","very rare","wondrous item","requires attunement","","",""
"Belt of Giant Strength","DMG","varies","wondrous item","requires attunement","","",""
"Belt of Hill Giant Strength","DMG","rare","wondrous item","requires attunement","","",""
"Belt of Stone Giant Strength","DMG","very rare","wondrous item","requires attunement","","",""
"Belt of Storm Giant Strength","DMG","legendary","wondrous item","requires attunement","","",""
"Berserker Axe","DMG","rare","generic variant","requires attunement","","",""
"Black Chromatic Rose","WBtW","rare","wondrous item","","","",""
"Black Crystal Tablet","WDMM","legendary","wondrous item","requires attunement by a creature that has proficiency in the Arcana skill","","",""
"Black Dragon Mask","HotDQ","legendary","wondrous item","requires attunement","","",""
"Black Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Blackrazor","DMG","legendary","weapon (greatsword), martial weapon, melee weapon","requires attunement by a creature of non-lawful alignment","2d6, slashing, - heavy, two-handed","6 lb.",""
"Blackstaff","WDH","legendary","staff, weapon, simple weapon, melee weapon","requires attunement by the blackstaff heir, who must be a wizard","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Blade of Avernus","BGDIA","artifact","weapon (longsword), martial weapon, melee weapon","requires attunement","1d8, slashing, - versatile (1d10)","3 lb.",""
"Blade of Broken Mirrors","EGW","artifact","weapon (dagger), simple weapon, melee weapon","requires attunement by a humanoid","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Blade of Broken Mirrors (Awakened)","EGW","artifact","weapon (dagger), simple weapon, melee weapon","requires attunement by a humanoid","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Blade of Broken Mirrors (Dormant)","EGW","artifact","weapon (dagger), simple weapon, melee weapon","requires attunement by a humanoid","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Blade of Broken Mirrors (Exalted)","EGW","artifact","weapon (dagger), simple weapon, melee weapon","requires attunement by a humanoid","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Blade of the Medusa","LLK","very rare","generic variant","requires attunement","","",""
"Blast Scepter","WDMM","very rare","rod","requires attunement","","",""
"Blod Stone","SKT","rare","wondrous item","requires attunement","","",""
"Blood Fury Tattoo","TCE","legendary","wondrous item (tattoo)","requires attunement","","",""
"Blood Spear","CoS","uncommon","weapon (spear), simple weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Blood of the Lycanthrope Antidote","IMR","uncommon","potion","","","",""
"Bloodaxe","EGW","very rare","weapon (greataxe), martial weapon, melee weapon","requires attunement","1d12, slashing, - heavy, two-handed","7 lb.",""
"Blue Chromatic Rose","WBtW","rare","wondrous item","","","",""
"Blue Dragon Mask","RoTOS","legendary","wondrous item","requires attunement","","",""
"Blue Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Bob","ToA","unknown (magic)","weapon (battleaxe), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","4 lb.",""
"Bobbing Lily Pad","WBtW","very rare","wondrous item","requires attunement","","",""
"Bonecounter","SDW","rare","weapon (mace), simple weapon, melee weapon","","1d6, bludgeoning","4 lb.",""
"Book of Exalted Deeds","DMG","artifact","wondrous item","requires attunement by a creature of good alignment","","5 lb.",""
"Book of Vile Darkness","DMG","artifact","wondrous item","requires attunement","","5 lb.",""
"Bookmark","ToA","legendary","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Boots of Elvenkind","DMG","uncommon","wondrous item","","","",""
"Boots of False Tracks","XGE","common","wondrous item","","","",""
"Boots of Levitation","DMG","rare","wondrous item","requires attunement","","",""
"Boots of Speed","DMG","rare","wondrous item","requires attunement","","",""
"Boots of Striding and Springing","DMG","uncommon","wondrous item","requires attunement","","",""
"Boots of the Winterlands","DMG","uncommon","wondrous item","requires attunement","","",""
"Boros Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Boros Keyrune","GGR","rare","wondrous item","requires attunement by a member of the Boros guild","","",""
"Bottle of Boundless Coffee","SCC","common","wondrous item","","","",""
"Bottled Breath","PotA","uncommon","potion","","","",""
"Bowl of Commanding Water Elementals","DMG","rare","wondrous item","","","3 lb.",""
"Bracelet of Rock Magic","TftYP","very rare","wondrous item","requires attunement","","1 lb.",""
"Bracer of Flying Daggers","WDH","rare","wondrous item","requires attunement","","",""
"Bracers of Archery","DMG","uncommon","wondrous item","requires attunement","","",""
"Bracers of Defense","DMG","rare","wondrous item","requires attunement","","",""
"Brass Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Brazier of Commanding Fire Elementals","DMG","rare","wondrous item","","","5 lb.",""
"Breathing Bubble","EGW","common","wondrous item","","","",""
"Bridle of Capturing","IMR","rare","wondrous item","","","",""
"Bronze Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Brooch of Living Essence","EGW","uncommon","wondrous item","requires attunement","","",""
"Brooch of Shielding","DMG","uncommon","wondrous item","requires attunement","","",""
"Broom of Flying","DMG","uncommon","wondrous item","","","3 lb.",""
"Butcher's Bib","EGW","rare","wondrous item","requires attunement","","",""
"Candle Mace","BGDIA","unknown (magic)","weapon (mace), simple weapon, melee weapon","","1d6, bludgeoning","4 lb.",""
"Candle of Invocation","DMG","very rare","wondrous item","requires attunement","","",""
"Candle of the Deep","XGE","common","wondrous item","","","",""
"Cap of Water Breathing","DMG","uncommon","wondrous item","","","",""
"Cape of the Mountebank","DMG","rare","wondrous item","","","",""
"Carpet of Flying","DMG","very rare","wondrous item","","","",""
"Carpet of Flying, 3 ft. × 5 ft.","DMG","very rare","wondrous item","","","",""
"Carpet of Flying, 4 ft. × 6 ft.","DMG","very rare","wondrous item","","","",""
"Carpet of Flying, 5 ft. × 7 ft.","DMG","very rare","wondrous item","","","",""
"Carpet of Flying, 6 ft. × 9 ft.","DMG","very rare","wondrous item","","","",""
"Cartographer's Map Case","AI","common","wondrous item","","","",""
"Cast-Off Armor","XGE","common","generic variant","","","",""
"Cauldron of Plenty","IDRotF","rare","wondrous item","","","50 lb.",""
"Cauldron of Rebirth","TCE","very rare","wondrous item","requires attunement by a druid or warlock","","0.16 oz.",""
"Censer of Controlling Air Elementals","DMG","rare","wondrous item","","","1 lb.",""
"Charlatan's Die","XGE","common","wondrous item","requires attunement","","",""
"Charm of Plant Command","GoS","rare","wondrous item","requires attunement","","",""
"Charred Wand of Magic Missiles","WDH","uncommon","wand","","","1 lb.",""
"Chest of Preserving","WDMM","common","wondrous item","","","25 lb.",""
"Chime of Opening","DMG","rare","wondrous item","","","1 lb.",""
"Chip of Creation","AitFR-AVT","artifact","wondrous item","requires attunement","","",""
"Chromatic Rose","WBtW","rare","wondrous item","","","",""
"Chronolometer","AI","very rare","wondrous item","requires attunement","","",""
"Circlet of Blasting","DMG","uncommon","wondrous item","","","",""
"Circlet of Human Perfection","WDMM","uncommon","other","requires attunement by a humanoid","","",""
"Claw of the Wyrm Rune","SKT","rare","wondrous item","requires attunement","","",""
"Claws of the Umber Hulk","PotA","rare","wondrous item","requires attunement","","",""
"Cleansing Stone","ERLW","common","wondrous item","","","",""
"Cloak of Arachnida","DMG","very rare","wondrous item","requires attunement","","",""
"Cloak of Billowing","XGE","common","wondrous item","","","",""
"Cloak of Displacement","DMG","rare","wondrous item","requires attunement","","",""
"Cloak of Elvenkind","DMG","uncommon","wondrous item","requires attunement","","",""
"Cloak of Invisibility","DMG","legendary","wondrous item","requires attunement","","",""
"Cloak of Many Fashions","XGE","common","wondrous item","","","",""
"Cloak of Protection","DMG","uncommon","wondrous item","requires attunement","","",""
"Cloak of the Bat","DMG","rare","wondrous item","requires attunement","","",""
"Cloak of the Manta Ray","DMG","uncommon","wondrous item","","","",""
"Clockwork Amulet","XGE","common","wondrous item","","","",""
"Clockwork Dog","SKT","unknown (magic)","other","","","",""
"Clothes of Mending","XGE","common","wondrous item","","","",""
"Coiling Grasp Tattoo","TCE","uncommon","wondrous item (tattoo)","requires attunement","","",""
"Coin of Decisionry","AI","varies","wondrous item","","","",""
"Coin of Delving","EGW","common","wondrous item","","","",""
"Cold Absorbing Tattoo","TCE","very rare","wondrous item (tattoo)","requires attunement","","",""
"Common Glamerweave","ERLW","common","wondrous item","","","",""
"Concertina","RMBRE","rare","wondrous item","","","",""
"Conch of Teleportation","SKT","very rare","wondrous item","requires attunement","","",""
"Copper Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Corpse Slayer","EGW","rare","generic variant","requires attunement","","",""
"Cracked Driftglobe","CM","uncommon","wondrous item","","","1 lb.",""
"Crook of Rao","TCE","artifact","wondrous item","requires attunement","","",""
"Crown of the Forest","IMR","uncommon","wondrous item","","","",""
"Crystal Ball","DMG","very rare","wondrous item","requires attunement","","3 lb.",""
"Crystal Ball (Legendary Version)","DMG","legendary","wondrous item","requires attunement","","3 lb.",""
"Crystal Ball of Mind Reading","DMG","legendary","wondrous item","requires attunement","","3 lb.",""
"Crystal Ball of Telepathy","DMG","legendary","wondrous item","requires attunement","","3 lb.",""
"Crystal Ball of True Seeing","DMG","legendary","wondrous item","requires attunement","","3 lb.",""
"Crystal Blade","FTD","rare","generic variant","requires attunement","","",""
"Crystalline Chronicle","TCE","very rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Cube of Force","DMG","rare","wondrous item","requires attunement","","",""
"Cubic Gate","DMG","legendary","wondrous item","","","",""
"Cuddly Strixhaven Mascot","SCC","common","wondrous item","","","",""
"Cursed Luckstone","GoS","uncommon","wondrous item","requires attunement","","",""
"Daern's Instant Fortress","DMG","rare","wondrous item","","","",""
"Dagger of Blindsight","WDMM","rare","weapon (dagger), simple weapon, melee weapon","requires attunement","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Dagger of Guitar Solos","WDMM","unknown (magic)","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.","750 gp"
"Dagger of Venom","DMG","rare","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Dancing Monkey Fruit","ToA","unknown (magic)","other","","","","5 gp"
"Dancing Sword","DMG","very rare","generic variant","requires attunement","","",""
"Danoth's Visor","EGW","legendary","wondrous item","requires attunement","","",""
"Danoth's Visor (Awakened)","EGW","legendary","wondrous item","requires attunement","","",""
"Danoth's Visor (Dormant)","EGW","legendary","wondrous item","requires attunement","","",""
"Danoth's Visor (Exalted)","EGW","legendary","wondrous item","requires attunement","","",""
"Dark Shard Amulet","XGE","common","wondrous item","requires attunement by a warlock","","",""
"Dawnbringer","OotA","legendary","weapon (longsword), martial weapon, melee weapon","requires attunement by a creature of non-evil alignment","1d8, radiant, - finesse, versatile (1d10)","3 lb.",""
"Decanter of Endless Water","DMG","uncommon","wondrous item","","","2 lb.",""
"Deck of Illusions","DMG","uncommon","wondrous item","","","",""
"Deck of Many Things","DMG","legendary","wondrous item","","","",""
"Deck of Several Things","LLK","legendary","wondrous item","","","",""
"Defender","DMG","legendary","generic variant","requires attunement","","",""
"Dekella, Bident of Thassa","MOT","artifact","weapon (trident), martial weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.",""
"Demon Armor","DMG","very rare","heavy armor","requires attunement","AC 18","65 lb.",""
"Demonomicon of Iggwilv","TCE","artifact","wondrous item","requires attunement","","",""
"Devastation Orb","PotA","very rare","wondrous item","","","",""
"Devastation Orb of Air","PotA","very rare","wondrous item","","","",""
"Devastation Orb of Earth","PotA","very rare","wondrous item","","","",""
"Devastation Orb of Fire","PotA","very rare","wondrous item","","","",""
"Devastation Orb of Water","PotA","very rare","wondrous item","","","",""
"Devlin's Staff of Striking","ToA","very rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Devotee's Censer","TCE","rare","weapon (flail), martial weapon, melee weapon","requires attunement by a cleric or paladin","1d8, bludgeoning","2 lb.",""
"Dimensional Loop","AI","very rare","wondrous item","requires attunement","","",""
"Dimensional Shackles","DMG","rare","wondrous item","","","",""
"Dimir Guild Signet","GGR","uncommon","ring","requires attunement","","",""
"Dimir Keyrune","GGR","very rare","wondrous item","requires attunement by a member of the Dimir guild","","",""
"Dispelling Stone","EGW","very rare","wondrous item","","","",""
"Docent","ERLW","rare","wondrous item","requires attunement by a warforged","","",""
"Documancy Satchel","AI","varies","wondrous item","","","",""
"Dodecahedron of Doom","WDMM","rare","wondrous item","","","",""
"Draakhorn","RoT","artifact","wondrous item","","","",""
"Draconic Longsword","ToA","unknown (magic)","weapon (longsword), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.",""
"Dragon Scale Mail","DMG","very rare","medium armor","requires attunement","AC 14 + Dex (max 2)","45 lb.",""
"Dragon Sensing Longsword","PotA","unknown (magic)","weapon (longsword), martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.",""
"Dragon Slayer","DMG","rare","generic variant","","","",""
"Dragon Thighbone Club","SKT","unknown (magic)","weapon (greatclub), simple weapon, melee weapon","attunement optional","1d8, bludgeoning, - two-handed","250 lb.",""
"Dragon Vessel","FTD","varies","wondrous item","requires attunement","","",""
"Dragon Wing Bow","FTD","rare","generic variant","requires attunement","","",""
"Dragon's Wrath Weapon","FTD","varies","generic variant","requires attunement","","",""
"Dragon-Touched Focus","FTD","varies","wondrous item","requires attunement by a spellcaster","","",""
"Dragongleam","HotDQ","unknown (magic)","weapon (spear), simple weapon, melee weapon","","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","3 lb.",""
"Dragonguard","LMoP","rare","medium armor","","AC 14 + Dex (max 2)","20 lb.",""
"Dragonlance","FTD","legendary","generic variant","requires attunement","","",""
"Dragonstaff of Ahghairon","WDH","legendary","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Dragontooth Dagger","RoT","rare","weapon (dagger), simple weapon, melee weapon","","1d4, piercing, - finesse, light, thrown (20/60 ft.)","1 lb.",""
"Dread Helm","XGE","common","wondrous item","","","",""
"Driftglobe","DMG","uncommon","wondrous item","","","1 lb.",""
"Drow +1 Armor","MM","unknown (magic)","generic variant","","","",""
"Drow +1 Weapon","MM","unknown (magic)","generic variant","","","",""
"Drow +2 Armor","MM","unknown (magic)","generic variant","","","",""
"Drow +2 Weapon","MM","unknown (magic)","generic variant","","","",""
"Drow +3 Armor","MM","unknown (magic)","generic variant","","","",""
"Drow +3 Weapon","MM","unknown (magic)","generic variant","","","",""
"Drown","PotA","legendary","weapon (trident), martial weapon, melee weapon","requires attunement","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","4 lb.",""
"Duplicitous Manuscript","TCE","rare","wondrous item","requires attunement by a wizard","","3 lb.",""
"Duskcrusher","EGW","very rare","weapon (warhammer), martial weapon, melee weapon","requires attunement","1d8, radiant, - versatile (1d10)","2 lb.",""
"Dust of Corrosion","WBtW","uncommon","wondrous item","","","",""
"Dust of Deliciousness","EGW","uncommon","wondrous item","","","",""
"Dust of Disappearance","DMG","uncommon","wondrous item","","","",""
"Dust of Dryness","DMG","uncommon","wondrous item","","","",""
"Dust of Sneezing and Choking","DMG","uncommon","wondrous item","","","",""
"Dwarven Plate","DMG","very rare","heavy armor","","AC 18","65 lb.",""
"Dwarven Thrower","DMG","very rare","weapon (warhammer), martial weapon, melee weapon","requires attunement by a dwarf","1d8, bludgeoning, - thrown (20/60 ft.), versatile (1d10)","2 lb.",""
"Dyrrn's Tentacle Whip","ERLW","very rare","weapon (whip), martial weapon, melee weapon","requires attunement","1d4, slashing, - finesse, reach","3 lb.",""
"Eagle Whistle","TftYP","rare","wondrous item","","","1 lb.",""
"Ear Horn of Hearing","XGE","common","wondrous item","","","",""
"Earring of Message","CRCotN","common","wondrous item","","","",""
"Earworm","ERLW","uncommon","wondrous item","requires attunement","","",""
"Efreeti Bottle","DMG","very rare","wondrous item","","","1 lb.",""
"Efreeti Chain","DMG","legendary","heavy armor","requires attunement","AC 16","55 lb.",""
"Elder Cartographer's Glossography","AI","uncommon","wondrous item","","","",""
"Eldritch Claw Tattoo","TCE","uncommon","wondrous item (tattoo)","requires attunement","","",""
"Eldritch Staff","WBtW","very rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6, bludgeoning, - versatile (1d8)","4 lb.",""
"Elemental Essence Shard","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Elemental Essence Shard (Air)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Elemental Essence Shard (Earth)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Elemental Essence Shard (Fire)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Elemental Essence Shard (Water)","TCE","rare","wondrous item","requires attunement by a sorcerer","","1 lb.",""
"Elemental Gem","DMG","uncommon","wondrous item","","","",""
"Elemental Gem, Blue Sapphire","DMG","uncommon","wondrous item","","","",""
