"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value"
"Flensing Claws (Medium)","VGM","unknown","other","","1d10, slashing","",""
"Flensing Claws (Small)","VGM","unknown","other","","1d8, slashing","",""
"Flour","PHB","none","Trade Good","","","1 lb.","2 cp"
"Flute","PHB","none","Instrument","","","1 lb.","2 gp"
"Forgery Kit","PHB","none","tools","","","5 lb.","15 gp"
"Fragmentation Grenade","DMG","none","explosive, modern","","","1 lb.",""
"Galley","DMG","none","Vehicle","","Speed: 4 mphCarrying Capacity: 150 tons cargoCrew 80, AC 15, HP 500, Damage Threshold 20","","30,000 gp"
"Gaming Set","PHB","none","Gaming Set","","","",""
"Garnet","DMG","none","treasure","","","","100 gp"
"Ginger","PHB","none","Trade Good","","","1 lb.","1 gp"
"Glaive","PHB","none","weapon, martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp"
"Glass Bottle","PHB","none","adventuring gear","","","2 lb.","2 gp"
"Glassblower's Tools","PHB","none","Artisan's Tools","","","5 lb.","30 gp"
"Glaur","SCAG","none","Instrument","","","",""
"Goat","PHB","none","Trade Good","","","","1 gp"
"Gold","PHB","none","Trade Good","","","1 lb.","50 gp"
"Gold (gp)","PHB","none","treasure","","","0.32 oz.","1 gp"
"Gold 5-Zino Coin","GGR","none","treasure","","","","5 gp"
"Gold Zino","GGR","none","treasure","","","","1 gp"
"Gold bird cage with electrum filigree","DMG","none","treasure","","","","250 gp"
"Gold circlet set with four aquamarines","DMG","none","treasure","","","","2,500 gp"
"Gold cup set with emeralds","DMG","none","treasure","","","","7,500 gp"
"Gold dragon comb set with red garnets as eyes","DMG","none","treasure","","","","750 gp"
"Gold jewelry box with platinum filigree","DMG","none","treasure","","","","7,500 gp"
"Gold locket with a painted portrait inside","DMG","none","treasure","","","","25 gp"
"Gold music box","DMG","none","treasure","","","","2,500 gp"
"Gold ring set with bloodstones","DMG","none","treasure","","","","250 gp"
"Grappling Hook","PHB","none","adventuring gear","","","4 lb.","2 gp"
"Greataxe","PHB","none","weapon, martial weapon, melee weapon","","1d12, slashing, - heavy, two-handed","7 lb.","30 gp"
"Greatclub","PHB","none","weapon, simple weapon, melee weapon","","1d8, bludgeoning, - two-handed","10 lb.","2 sp"
"Greatsword","PHB","none","weapon, martial weapon, melee weapon","","2d6, slashing, - heavy, two-handed","6 lb.","50 gp"
"Grenade Launcher","DMG","none","adventuring gear, modern","","","7 lb.",""
"Gunpowder Horn","DMG","none","explosive, renaissance","","","2 lb.","35 gp"
"Gunpowder Keg","DMG","none","explosive, renaissance","","","20 lb.","250 gp"
"Halberd","PHB","none","weapon, martial weapon, melee weapon","","1d10, slashing, - heavy, reach, two-handed","6 lb.","20 gp"
"Half Plate Armor","PHB","none","medium armor","","AC 15 + Dex (max 2)","40 lb.","750 gp"
"Hammer","PHB","none","adventuring gear","","","3 lb.","1 gp"
"Hand Crossbow","PHB","none","weapon, range, martial weapon","","1d6, piercing, - ammunition (30/120 ft.), light, loading","3 lb.","75 gp"
"Hand Drum","SCAG","none","Instrument","","","",""
"Handaxe","PHB","none","weapon, simple weapon, melee weapon","","1d6, slashing, - light, thrown (20/60 ft.)","2 lb.","5 gp"
"Harbor Moon","WDH","none","treasure","","","","50 gp"
"Healer's Kit","PHB","none","adventuring gear","","","3 lb.","5 gp"
"Heavy Crossbow","PHB","none","weapon, range, martial weapon","","1d10, piercing, - ammunition (100/400 ft.), heavy, loading, two-handed","18 lb.","50 gp"
"Hematite","DMG","none","treasure","","","","10 gp"
"Hempen Rope (50 feet)","PHB","none","adventuring gear","","","10 lb.","1 gp"
"Herbalism Kit","PHB","none","tools","","","3 lb.","5 gp"
"Hide Armor","PHB","none","medium armor","","AC 12 + Dex (max 2)","12 lb.","10 gp"
"Holy Symbol","PHB","none","spellcasting focus","","","",""
"Holy Water (flask)","PHB","none","adventuring gear","","","1 lb.","25 gp"
"Hooded Lantern","PHB","none","adventuring gear","","","2 lb.","5 gp"
"Hooked Shortspear","OotA","unknown","weapon, martial weapon, melee weapon","","1d4, piercing, - light","2 lb.",""
"Horn","PHB","none","Instrument","","","2 lb.","3 gp"
"Horror Trinket","VRGR","none","adventuring gear","","","",""
"Hourglass","PHB","none","adventuring gear","","","1 lb.","25 gp"
"Hunk of Cheese","PHB","none","food and drink","","","","1 sp"
"Hunting Rifle","DMG","none","weapon, range, firearm, modern, martial weapon","","2d10, piercing, - ammunition (80/240 ft.), reload (5 shots), two-handed","8 lb.",""
"Hunting Trap","PHB","none","adventuring gear","","","25 lb.","5 gp"
"Icewind Dale Trinket","IDRotF","none","adventuring gear","","","",""
"Ink (1-ounce bottle)","PHB","none","adventuring gear","","","","10 gp"
"Ink Pen","PHB","none","adventuring gear","","","","2 cp"
"Insect Repellent (block of incense)","ToA","none","adventuring gear","","","","1 sp"
"Insect Repellent (greasy salve)","ToA","none","adventuring gear","","","","1 gp"
"Iron","PHB","none","Trade Good","","","1 lb.","1 sp"
"Iron Pot","PHB","none","adventuring gear","","","10 lb.","2 gp"
"Iron Spike","PHB","none","adventuring gear","","","½ lb.","1 sp"
"Iron Spikes (10)","PHB","none","adventuring gear","","","5 lb.","1 gp"
"Ivana's Whisper","VRGR","unknown","adventuring gear, poison (inhaled)","","","",""
"Jacinth","DMG","none","treasure","","","","5,000 gp"
"Jade","DMG","none","treasure","","","","100 gp"
"Jade game board with solid gold playing pieces","DMG","none","treasure","","","","7,500 gp"
"Jasper","DMG","none","treasure","","","","50 gp"
"Javelin","PHB","none","weapon, simple weapon, melee weapon","","1d6, piercing, - thrown (30/120 ft.)","2 lb.","5 sp"
"Jet","DMG","none","treasure","","","","100 gp"
"Jeweled anklet","DMG","none","treasure","","","","2,500 gp"
"Jeweled gold crown","DMG","none","treasure","","","","7,500 gp"
"Jeweled platinum ring","DMG","none","treasure","","","","7,500 gp"
"Jeweler's Tools","PHB","none","Artisan's Tools","","","2 lb.","25 gp"
"Jug","PHB","none","adventuring gear","","","4 lb.","2 cp"
"Keelboat","DMG","none","Vehicle","","Speed: 1 mphCarrying Capacity: 1/2 ton cargo, 6 passengersCrew 1, AC 15, HP 100, Damage Threshold 10","","3,000 gp"
"Ladder (10-foot)","PHB","none","adventuring gear","","","25 lb.","1 sp"
"Lamp","PHB","none","adventuring gear","","","1 lb.","5 sp"
"Lance","PHB","none","weapon, martial weapon, melee weapon","","1d12, piercing, - reach, special","6 lb.","10 gp"
"Lapis Lazuli","DMG","none","treasure","","","","10 gp"
"Large gold bracelet","DMG","none","treasure","","","","250 gp"
"Large well-made tapestry","DMG","none","treasure","","","","250 gp"
"Laser Pistol","DMG","none","weapon, range, firearm, futuristic, martial weapon","","3d6, radiant, - ammunition (30/120 ft.), reload (50 shots)","2 lb.",""
"Laser Rifle","DMG","none","weapon, range, firearm, futuristic, martial weapon","","3d8, radiant, - ammunition (100/300 ft.), reload (30 shots), two-handed","7 lb.",""
"Leather Armor","PHB","none","light armor","","AC 11 + Dex","10 lb.","10 gp"
"Leatherworker's Tools","PHB","none","Artisan's Tools","","","5 lb.","5 gp"
"Light Crossbow","PHB","none","weapon, range, simple weapon","","1d8, piercing, - ammunition (80/320 ft.), loading, two-handed","5 lb.","25 gp"
"Light Hammer","PHB","none","weapon, simple weapon, melee weapon","","1d4, bludgeoning, - light, thrown (20/60 ft.)","2 lb.","2 gp"
"Light Repeating Crossbow","OotA","unknown","weapon, range, simple weapon","","1d8, piercing, - ammunition (40/160 ft.), two-handed","5 lb.",""
"Linen (1 sq. yd.)","PHB","none","Trade Good","","","","5 gp"
"Loaf of Bread","PHB","none","food and drink","","","","2 cp"
"Lock","PHB","none","adventuring gear","","","1 lb.","10 gp"
"Longbow","PHB","none","weapon, range, martial weapon","","1d8, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.","50 gp"
"Longhorn","SCAG","none","Instrument","","","",""
"Longship","DMG","none","Vehicle","","Speed: 3 mphCarrying Capacity: 10 tons cargo, 150 passengersCrew 40, AC 15, HP 300, Damage Threshold 15","","10,000 gp"
"Longsword","PHB","none","weapon, martial weapon, melee weapon","","1d8, slashing, - versatile (1d10)","3 lb.","15 gp"
"Lute","PHB","none","Instrument","","","2 lb.","35 gp"
"Lyre","PHB","none","Instrument","","","2 lb.","30 gp"
"Mace","PHB","none","weapon, simple weapon, melee weapon","","1d6, bludgeoning","4 lb.","5 gp"
"Magnifying Glass","PHB","none","adventuring gear","","","","100 gp"
"Malachite","DMG","none","treasure","","","","10 gp"
"Malice","DMG","none","adventuring gear, poison (inhaled)","","","","250 gp"
"Manacles","PHB","none","adventuring gear","","","6 lb.","2 gp"
"Map or Scroll Case","PHB","none","adventuring gear","","","1 lb.","1 gp"
"Mason's Tools","PHB","none","Artisan's Tools","","","8 lb.","10 gp"
"Mastiff","PHB","none","mount","","Speed: 40, Carrying Capacity: 195 lb.","","25 gp"
"Matchless Pipe","WDH","unknown","other","","","",""
"Maul","PHB","none","weapon, martial weapon, melee weapon","","2d6, bludgeoning, - heavy, two-handed","10 lb.","10 gp"
"Menga leaves (1 ounce)","ToA","unknown","adventuring gear","","","1 oz.","2 gp"
"Merchant's Scale","PHB","none","adventuring gear","","","3 lb.","5 gp"
"Mess Kit","PHB","none","adventuring gear","","","1 lb.","2 sp"
"Midnight Tears","DMG","none","adventuring gear, poison (ingested)","","","","1,500 gp"
"Military Saddle","PHB","none","tack and harness","","","30 lb.","20 gp"
"Miner's Pick","PHB","none","adventuring gear","","","10 lb.","2 gp"
"Modern Bullet","DMG","none","ammunition, modern","","","1.6 oz.",""
"Modern Bullets (10)","DMG","none","ammunition, modern","","","1 lb.",""
"Monster Hunter's Pack","VRGR","none","adventuring gear","","","48½ lb.","33 gp"
"Moonstone","DMG","none","treasure","","","","50 gp"
"Moorbounder","EGW","none","mount","","","","400 gp"
"Morningstar","PHB","none","weapon, martial weapon, melee weapon","","1d8, piercing","4 lb.","15 gp"
"Moss Agate","DMG","none","treasure","","","","10 gp"
"Mule","PHB","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","8 gp"
"Murgaxor's Elixir of Life","SCC","unknown","adventuring gear","","","",""
"Muroosa Balm","EGW","none","adventuring gear","","","","100 gp"
"Musical Instrument","PHB","none","Instrument","","","",""
"Musical Instrument","SCAG","none","Instrument","","","",""
"Musket","DMG","none","weapon, range, firearm, renaissance, martial weapon","","1d12, piercing, - ammunition (40/120 ft.), loading, two-handed","10 lb.","500 gp"
"Navigator's Tools","PHB","none","tools","","","2 lb.","25 gp"
"Necklace string of small pink pearls","DMG","none","treasure","","","","2,500 gp"
"Net","PHB","none","weapon, range, martial weapon","","special, thrown (5/15 ft.)","3 lb.","1 gp"
"Nib","WDH","none","treasure","","","","1 cp"
"Nimblewright Detector","WDH","unknown","other","","","",""
"Obsidian","DMG","none","treasure","","","","10 gp"
"Obsidian statuette with gold fittings and inlay","DMG","none","treasure","","","","750 gp"
"Oil (flask)","PHB","none","adventuring gear","","","1 lb.","1 sp"
"Oil of Taggit","DMG","none","adventuring gear, poison (contact)","","","","400 gp"
"Old masterpiece painting","DMG","none","treasure","","","","2,500 gp"
"Olisuba Leaf","EGW","none","adventuring gear","","","","50 gp"
"Onyx","DMG","none","treasure","","","","50 gp"
"Opal","DMG","none","treasure","","","","1,000 gp"
"Orb","PHB","none","spellcasting focus","","","3 lb.","20 gp"
"Oversized Longbow","WDH","unknown","weapon, range, martial weapon","","2d6, piercing, - ammunition (150/600 ft.), heavy, two-handed","2 lb.",""
"Ox","PHB","none","Trade Good","","","","15 gp"
"Pack Saddle","PHB","none","tack and harness","","","15 lb.","5 gp"
"Padded Armor","PHB","none","light armor","","AC 11 + Dex","8 lb.","5 gp"
"Painted gold child's sarcophagus","DMG","none","treasure","","","","7,500 gp"
"Painted gold war mask","DMG","none","treasure","","","","750 gp"
"Painter's Supplies","PHB","none","Artisan's Tools","","","5 lb.","10 gp"
"Pair of engraved bone dice","DMG","none","treasure","","","","25 gp"
"Pale Tincture","DMG","none","adventuring gear, poison (ingested)","","","","250 gp"
"Pan Flute","PHB","none","Instrument","","","2 lb.","12 gp"
"Paper (one sheet)","PHB","none","adventuring gear","","","","2 sp"
"Parchment (one sheet)","PHB","none","adventuring gear","","","","1 sp"
"Pearl","DMG","none","treasure","","","","100 gp"
"Pepper","PHB","none","Trade Good","","","1 lb.","2 gp"
"Perfume (vial)","PHB","none","adventuring gear","","","","5 gp"
"Peridot","DMG","none","treasure","","","","500 gp"
"Pig","PHB","none","Trade Good","","","","3 gp"
"Pike","PHB","none","weapon, martial weapon, melee weapon","","1d10, piercing, - heavy, reach, two-handed","18 lb.","5 gp"
"Pistol","DMG","none","weapon, range, firearm, renaissance, martial weapon","","1d10, piercing, - ammunition (30/90 ft.), loading","3 lb.","250 gp"
"Pitcher","PHB","none","adventuring gear","","","4 lb.","2 cp"
"Piton","PHB","none","adventuring gear","","","¼ lb.","5 cp"
"Plate Armor","PHB","none","heavy armor","","AC 18","65 lb.","1,500 gp"
"Platinum","PHB","none","Trade Good","","","1 lb.","500 gp"
"Platinum (pp)","PHB","none","treasure","","","0.32 oz.","10 gp"
"Platinum 10-Zino Coin","GGR","none","treasure","","","","10 gp"
"Platinum 100-Zino Coin","GGR","none","treasure","","","","100 gp"
"Platinum bracelet set with a sapphire","DMG","none","treasure","","","","2,500 gp"
"Playing Card Set","PHB","none","Gaming Set","","","","5 sp"
"Poisoner's Kit","PHB","none","tools","","","2 lb.","50 gp"
"Pole (10-foot)","PHB","none","adventuring gear","","","7 lb.","5 cp"
"Pony","PHB","none","mount","","Speed: 40, Carrying Capacity: 225 lb.","","30 gp"
"Portable Ram","PHB","none","adventuring gear","","","35 lb.","4 gp"
"Potter's Tools","PHB","none","Artisan's Tools","","","3 lb.","10 gp"
"Pouch","PHB","none","adventuring gear","","","1 lb.","5 sp"
"Pride Silk","EGW","none","adventuring gear","","","1 lb.","100 gp"
"Pride Silk Outfit","EGW","none","adventuring gear","","","4 lb.","500 gp"
"Priest's Pack","PHB","none","adventuring gear","","","24 lb.","19 gp"
"Purple Worm Poison","DMG","none","adventuring gear, poison (injury)","","","","2,000 gp"
"Quarterstaff","PHB","none","weapon, simple weapon, melee weapon","","1d6, bludgeoning, - versatile (1d8)","4 lb.","2 sp"
"Quartz","DMG","none","treasure","","","","50 gp"
"Quiver","PHB","none","adventuring gear","","","1 lb.","1 gp"
"Rain Catcher","ToA","none","adventuring gear","","","5 lb.","1 gp"
